region,annee,type,nb_etab,nb_ecrans,nb_fauteuils,nb_seances,nb_entrees,recette,rme,indice_freq,tmof
PAYS DE LA LOIRE,2018,G,8.0,88.0,16649.0,169863.0,4730343.0,31906953.0,6.745166893817213,1.272106423214447,15.068151044808126
PROVENCE-ALPES-COTE D'AZUR,2018,G,21.0,182.0,33734.0,328555.0,10049512.0,78647045.0,7.825956623565403,2.0067009093691923,16.66557658000323
AUVERGNE-RHONE-ALPES,2019,G,30.0,286.0,55021.0,527910.0,12811473.0,97484614.0,7.609165160009313,1.6262965399282887,12.793512571506241
BOURGOGNE-FRANCHE-COMTE,2019,G,8.0,81.0,14157.0,140541.0,3331388.0,22417169.0,6.729077789798126,1.1807499564934925,13.759731521946858
BRETAGNE,2019,G,7.0,80.0,16228.0,142681.0,4347400.0,31863702.0,7.329369738234347,1.3198536666818466,15.529283186448595
CENTRE-VAL DE LOIRE,2019,G,8.0,82.0,16733.0,150552.0,3964286.0,29179678.0,7.360638964998993,1.5373839676846899,13.051043776080656
CORSE,2019,G,0,0,0,0,0,0,0,0,0
GRAND EST,2019,G,17.0,182.0,39516.0,337085.0,8874025.0,64420212.0,7.2594129495916455,1.5964571129214076,12.507608632869797
HAUTS-DE-FRANCE,2019,G,13.0,182.0,40810.0,321609.0,9187995.0,67247389.0,7.319049368224515,1.5287906307778933,12.974216301061064
ILE-DE-FRANCE,2019,G,62.0,608.0,125327.0,1214175.4172977891,38194917.41951376,290372783.1008358,7.602393269018681,3.1612698391538587,15.73709261618705
NORMANDIE,2019,G,6.0,74.0,15978.0,142541.0,4011982.0,30731202.0,7.659855403139894,1.201504822661944,13.21693723185096
NOUVELLE AQUITAINE,2019,G,11.0,131.0,23389.0,247511.0,5543692.0,38754322.0,6.990706193634134,0.9377837909343207,12.645715524025686
OCCITANIE,2019,G,15.0,145.0,27682.0,262738.0,7898683.0,59996410.0,7.5957485570695775,1.36793036593043,16.04075494124429
PAYS DE LA LOIRE,2019,G,8.0,88.0,16646.0,165019.0,4912888.0,34422878.0,7.006648228089059,1.3211972961227503,16.080674784455784
PROVENCE-ALPES-COTE D'AZUR,2019,G,21.0,193.0,34267.0,338122.0,10526900.0,85942037.0,8.164040410757202,2.102026427038303,17.434799985981805
